Category,Subcategory,Action,Sentence
other,none,none,what is your favorite quote.
other,none,none,what is your favorite movie.
other,none,none,don't forget that my favorite thing to do is ride bikes.
other,none,none,don't forget my shoe size is nine.
spotify,none,none,play crucial by false jasmine.
spotify,none,none,play false jasmine on spotify.
spotify,none,none,play false jasmine.
spotify,none,none,play vitamin c by can .
spotify,none,none,can we listen to the mars volta.
spotify,none,none,throw on some slum village.
spotify,none,none,play all my love by led zeppelin.
spotify,none,none,play me some sublime .
spotify,none,none,can we listen to grace by jeff buckley.
spotify,none,none,play roundabout by yes.
spotify,none,none,play the widow by the mars volta.
spotify,none,none,play deep down by mike patton.
spotify,none,none,play djedje by gordon.
spotify,none,none,play djedje.
spotify,none,none,play dig my grave by goat.
spotify,none,none,play the mars volta.
spotify,none,none,play jeff buckley.
spotify,none,none,play me a good song
spotify,none,none,"i want to hear my favorite band, False Jasmine."
spotify,none,none,play my playlist baked on spotify.
spotify,none,none,play my baked playlist.
spotify,none,none,play my discover weekly playlist.
spotify,none,none,play the discover weekly playlist on spotify.
spotify,none,none,play my playlist your top songs 2019 on spotify.
spotify,none,none,play my top songs 2021 playlist.
spotify,none,none,play my playlist jazz tunes on spotify.
spotify,none,none,play jazz tunes on spotify.
spotify,none,none,play the mars volta.
spotify,none,none,pause music.
spotify,none,none,play my top songs 2020 playlist.
spotify,none,none,play jeff buckley.
spotify,none,none,play future days by can.
spotify,none,none,play jazz tunes playlist on Spotify.
spotify,none,none,Guerilla toss on Spotify.
timer,none,none,set a timer for 45 seconds.
timer,none,none,set a timer for 1 minute and 30 seconds.
timer,none,none,timer for 23 seconds.
timer,none,none,count down from 30.
timer,none,none,set the timer for 35 seconds.
timer,none,none,set a timer for one minute.
timer,none,none,it`s dab time.
timer,none,none,time to hit a dab.
timer,none,none,set a dab timer.
timer,none,none,set a timer for half a minute.
timer,none,none,set a timer for a minute and a half.
timer,none,none,set a timer for 2 minutes and a half.
timer,none,none,turn the timer on for half a minute.
timer,none,none,turn the timer on for half a minute.
timer,none,none,toggle timer for 60 seconds.
timer,none,none,time to hit a dab.
weather,none,none,what's the weather like today
weather,location,none,what's the weather like today in Auburn
weather,none,none,is it cold outside
weather,none,none,is it warm outside
weather,none,none,what's the temperature today
wolfram,none,none,can you tell me who the president of the United States was in 1975?
wolfram,none,none,who was the 16th president of the united states?
wolfram,none,none,what is the population of canada?
wolfram,none,none,what's the human population count
wolfram,none,none,what is the speed of light
wolfram,none,none,how many cups are in a gallon
wolfram,none,none,can you tell me how many cups are in a gallon
wolfram,none,none,who invented the telescope
wolfram,none,none,who founded tesla
wolfram,none,none,define apple
wolfram,none,none,who invented the printing press
wolfram,math,none,what is 2 + 2
wolfram,math,none,what's 2 plus 2
wolfram,math,none,what is 6.6 / 6
wolfram,math,none,what is x if 6x = 3?
wolfram,math,none,what is y if 6y equals 397?
wolfram,math,none,what's 9 * 6
wolfram,math,none,what's 1000 / 4
wolfram,math,none,what's 123456789 / 4
